timestamp,host,source_ip,username,dest_port,event_type,status
2025-11-20T14:27:57.042617Z,fw1,10.0.0.20,root,5455,login_success,200
2025-11-20T14:36:02.042617Z,fw1,10.0.0.18,guest,43804,login_success,200
2025-11-20T14:17:37.042617Z,router2,10.0.0.2,guest,52095,config_change,204
2025-11-20T14:18:12.042617Z,router1,10.0.0.13,guest,22313,login_failed,401
2025-11-20T14:16:24.042617Z,router2,10.0.0.11,admin,3111,login_success,200
2025-11-20T13:56:03.042617Z,fw1,10.0.0.7,guest,13252,login_failed,401
2025-11-20T14:27:02.042617Z,router1,10.0.0.28,guest,27641,login_success,200
2025-11-20T14:38:47.042617Z,fw1,10.0.0.20,root,10967,config_change,204
2025-11-20T14:03:11.042617Z,fw1,10.0.0.13,root,34254,login_failed,401
2025-11-20T14:20:01.042617Z,router1,10.0.0.10,user1,21937,login_failed,401
2025-11-20T13:58:29.042617Z,router1,10.0.0.25,guest,26577,login_failed,401
2025-11-20T14:25:19.042617Z,server1,10.0.0.6,guest,44144,login_failed,401
2025-11-20T14:29:21.042617Z,router1,10.0.0.17,guest,27756,login_failed,401
2025-11-20T14:30:57.042617Z,router1,10.0.0.18,guest,23345,config_change,204
2025-11-20T14:03:55.042617Z,router1,10.0.0.24,guest,56140,login_failed,401
2025-11-20T14:34:57.042617Z,fw1,10.0.0.16,guest,49692,login_success,200
2025-11-20T14:19:45.042617Z,router1,10.0.0.10,root,48805,login_success,200
2025-11-20T14:25:49.042617Z,router2,10.0.0.9,user1,19378,login_success,200
2025-11-20T14:34:03.042617Z,server1,10.0.0.4,user1,56503,login_failed,401
2025-11-20T14:12:09.042617Z,server1,10.0.0.29,root,46235,login_success,200
2025-11-20T14:27:32.042617Z,server1,10.0.0.19,admin,50849,config_change,204
2025-11-20T14:07:16.042617Z,server1,10.0.0.29,root,44410,login_success,200
2025-11-20T14:36:24.042617Z,fw1,10.0.0.7,guest,3442,login_success,200
2025-11-20T14:26:37.042617Z,router2,10.0.0.16,root,16446,login_failed,401
2025-11-20T14:18:39.042617Z,fw1,10.0.0.28,guest,34630,login_success,200
