timestamp,host,source_ip,username,event_type,status
2025-11-20T01:21:06.492546Z,router1,10.0.0.17,user1,config_change,204
2025-11-20T01:23:42.492546Z,switch3,10.0.0.2,user1,login_success,200
2025-11-20T02:16:43.492546Z,switch3,10.0.0.16,root,logout,200
2025-11-20T02:16:27.492546Z,router2,10.0.0.5,admin,login_failed,401
2025-11-20T01:20:02.492546Z,switch3,10.0.0.9,guest,login_success,200
2025-11-20T01:55:38.492546Z,switch3,10.0.0.3,admin,logout,200
2025-11-20T01:42:53.492546Z,router1,10.0.0.18,guest,config_change,204
2025-11-20T01:55:13.492546Z,router2,10.0.0.2,user1,port_scan,900
2025-11-20T01:27:36.492546Z,router2,10.0.0.4,guest,port_scan,900
2025-11-20T01:47:14.492546Z,switch3,10.0.0.17,admin,logout,200
2025-11-20T02:13:03.492546Z,switch3,10.0.0.3,user1,config_change,204
2025-11-20T01:35:06.492546Z,router2,10.0.0.2,user1,login_success,200
2025-11-20T01:52:19.492546Z,fw1,10.0.0.11,guest,logout,200
2025-11-20T01:33:27.492546Z,router2,10.0.0.11,root,login_success,200
2025-11-20T01:56:07.492546Z,router2,10.0.0.14,admin,login_failed,401
2025-11-20T01:21:51.492546Z,switch3,10.0.0.13,user1,config_change,204
2025-11-20T01:37:47.492546Z,router2,10.0.0.5,user1,port_scan,900
2025-11-20T02:04:03.492546Z,router1,10.0.0.9,root,login_failed,401
2025-11-20T01:41:54.492546Z,switch3,10.0.0.9,admin,config_change,204
2025-11-20T01:45:31.492546Z,fw1,10.0.0.14,root,logout,200
2025-11-20T01:56:46.492546Z,switch3,10.0.0.16,user1,config_change,204
2025-11-20T01:24:49.492546Z,fw1,10.0.0.17,root,login_failed,401
2025-11-20T01:47:37.492546Z,switch3,10.0.0.15,guest,logout,200
2025-11-20T01:33:18.492546Z,router1,10.0.0.15,guest,logout,200
2025-11-20T01:26:22.492546Z,router1,10.0.0.15,root,port_scan,900
2025-11-20T02:08:09.492546Z,router2,10.0.0.7,admin,logout,200
2025-11-20T02:07:24.492546Z,router1,10.0.0.19,guest,login_failed,401
2025-11-20T01:30:55.492546Z,router2,10.0.0.18,guest,login_failed,401
